2020-09-06 20:16:52,548 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 27.21 | ExpVar: 0.2
2020-09-06 20:16:52,557 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 25.71 | ExpVar: 0.24
2020-09-06 20:16:52,571 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 27.39 | ExpVar: 0.19
2020-09-06 20:16:52,585 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.73 | ExpVar: 0.22
2020-09-06 20:16:52,615 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 27.01 | ExpVar: 0.21
2020-09-06 20:16:52,647 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 25.47 | ExpVar: 0.26
2020-09-06 20:16:52,669 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 27.18 | ExpVar: 0.2
2020-09-06 20:16:52,701 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.46 | ExpVar: 0.23
2020-09-06 20:16:52,743 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 27.0 | ExpVar: 0.21
2020-09-06 20:16:52,789 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 25.47 | ExpVar: 0.26
2020-09-06 20:16:52,826 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 27.18 | ExpVar: 0.2
2020-09-06 20:16:52,872 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.46 | ExpVar: 0.23
2020-09-06 20:16:52,987 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 27.0 | ExpVar: 0.21
2020-09-06 20:16:53,108 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 25.47 | ExpVar: 0.26
2020-09-06 20:16:53,286 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 27.18 | ExpVar: 0.2
2020-09-06 20:16:54,863 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 26.46 | ExpVar: 0.23
2020-09-06 20:16:55,042 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 22.99 | ExpVar: 0.4
2020-09-06 20:16:55,250 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 23.72 | ExpVar: 0.38
2020-09-06 20:16:55,463 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 22.44 | ExpVar: 0.45
2020-09-06 20:16:55,680 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.66 | ExpVar: 0.45
2020-09-06 20:16:56,132 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 22.98 | ExpVar: 0.4
2020-09-06 20:16:56,539 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 23.72 | ExpVar: 0.38
2020-09-06 20:16:56,826 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 22.44 | ExpVar: 0.45
2020-09-06 20:16:57,167 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.66 | ExpVar: 0.45
2020-09-06 20:16:57,705 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 22.98 | ExpVar: 0.4
2020-09-06 20:16:58,261 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 23.72 | ExpVar: 0.38
2020-09-06 20:16:58,764 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 22.44 | ExpVar: 0.45
2020-09-06 20:16:59,283 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.66 | ExpVar: 0.45
2020-09-06 20:17:00,271 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 22.98 | ExpVar: 0.4
2020-09-06 20:17:01,325 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 23.72 | ExpVar: 0.38
2020-09-06 20:17:01,395 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 22.44 | ExpVar: 0.45
2020-09-06 20:17:01,466 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 21.66 | ExpVar: 0.45
2020-09-06 20:17:01,490 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 21.71 | ExpVar: 0.2
2020-09-06 20:17:01,513 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 14.98 | ExpVar: 0.62
2020-09-06 20:17:01,538 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 11.82 | ExpVar: 0.7
2020-09-06 20:17:01,563 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 14.64 | ExpVar: 0.63
2020-09-06 20:17:01,604 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 21.71 | ExpVar: 0.2
2020-09-06 20:17:01,644 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 14.98 | ExpVar: 0.62
2020-09-06 20:17:01,682 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 11.82 | ExpVar: 0.7
2020-09-06 20:17:01,717 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 14.64 | ExpVar: 0.63
2020-09-06 20:17:01,772 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 21.71 | ExpVar: 0.2
2020-09-06 20:17:01,816 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 14.98 | ExpVar: 0.62
2020-09-06 20:17:01,874 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 11.82 | ExpVar: 0.7
2020-09-06 20:17:01,935 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 14.64 | ExpVar: 0.63
2020-09-06 20:17:02,028 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 21.71 | ExpVar: 0.2
2020-09-06 20:17:02,098 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 14.98 | ExpVar: 0.62
2020-09-06 20:17:02,181 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 11.82 | ExpVar: 0.7
2020-09-06 20:17:02,278 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 14.64 | ExpVar: 0.63
2020-09-06 20:17:02,291 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 14.64 | ExpVar: 0.72
2020-09-06 20:17:02,302 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 15.5 | ExpVar: 0.69
2020-09-06 20:17:02,312 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 16.16 | ExpVar: 0.66
2020-09-06 20:17:02,322 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 16.33 | ExpVar: 0.64
2020-09-06 20:17:02,351 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 14.29 | ExpVar: 0.75
2020-09-06 20:17:02,375 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 15.22 | ExpVar: 0.72
2020-09-06 20:17:02,403 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 16.2 | ExpVar: 0.67
2020-09-06 20:17:02,432 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 16.31 | ExpVar: 0.65
2020-09-06 20:17:02,474 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 14.29 | ExpVar: 0.75
2020-09-06 20:17:02,516 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 15.22 | ExpVar: 0.72
2020-09-06 20:17:02,557 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 16.2 | ExpVar: 0.67
2020-09-06 20:17:02,612 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 16.31 | ExpVar: 0.65
2020-09-06 20:17:02,675 Results for XGB 61 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 14.29 | ExpVar: 0.75
2020-09-06 20:17:02,739 Results for XGB 62 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 15.22 | ExpVar: 0.72
