2020-09-06 20:20:37,150 Results for XGB 1 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 50.65 | ExpVar: -0.27
2020-09-06 20:20:37,157 Results for XGB 2 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 49.91 | ExpVar: -0.22
2020-09-06 20:20:37,166 Results for XGB 3 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 49.39 | ExpVar: -0.26
2020-09-06 20:20:37,179 Results for XGB 4 [Target: reg:linear, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 49.77 | ExpVar: -0.24
2020-09-06 20:20:37,204 Results for XGB 5 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 51.1 | ExpVar: -0.35
2020-09-06 20:20:37,226 Results for XGB 6 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 50.92 | ExpVar: -0.3
2020-09-06 20:20:37,242 Results for XGB 7 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 50.33 | ExpVar: -0.33
2020-09-06 20:20:37,264 Results for XGB 8 [Target: reg:linear, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 51.37 | ExpVar: -0.31
2020-09-06 20:20:37,300 Results for XGB 9 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 51.24 | ExpVar: -0.36
2020-09-06 20:20:37,343 Results for XGB 10 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 51.39 | ExpVar: -0.31
2020-09-06 20:20:37,381 Results for XGB 11 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 50.71 | ExpVar: -0.35
2020-09-06 20:20:37,416 Results for XGB 12 [Target: reg:linear, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 51.88 | ExpVar: -0.33
2020-09-06 20:20:37,478 Results for XGB 13 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 51.25 | ExpVar: -0.36
2020-09-06 20:20:38,447 Results for XGB 14 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 51.4 | ExpVar: -0.31
2020-09-06 20:20:39,994 Results for XGB 15 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 50.72 | ExpVar: -0.35
2020-09-06 20:20:41,031 Results for XGB 16 [Target: reg:linear, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 51.89 | ExpVar: -0.33
2020-09-06 20:20:41,161 Results for XGB 17 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 53.19 | ExpVar: 0.16
2020-09-06 20:20:41,283 Results for XGB 18 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 54.25 | ExpVar: 0.2
2020-09-06 20:20:41,473 Results for XGB 19 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 53.09 | ExpVar: 0.13
2020-09-06 20:20:41,689 Results for XGB 20 [Target: reg:linear, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 54.2 | ExpVar: 0.16
2020-09-06 20:20:42,140 Results for XGB 21 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 53.28 | ExpVar: 0.15
2020-09-06 20:20:42,581 Results for XGB 22 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 54.24 | ExpVar: 0.17
2020-09-06 20:20:43,011 Results for XGB 23 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 53.17 | ExpVar: 0.12
2020-09-06 20:20:43,319 Results for XGB 24 [Target: reg:linear, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 54.37 | ExpVar: 0.13
2020-09-06 20:20:44,025 Results for XGB 25 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 53.27 | ExpVar: 0.15
2020-09-06 20:20:44,660 Results for XGB 26 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 54.24 | ExpVar: 0.17
2020-09-06 20:20:45,252 Results for XGB 27 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 53.17 | ExpVar: 0.12
2020-09-06 20:20:45,653 Results for XGB 28 [Target: reg:linear, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 54.37 | ExpVar: 0.13
2020-09-06 20:20:45,717 Results for XGB 29 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 53.27 | ExpVar: 0.15
2020-09-06 20:20:45,790 Results for XGB 30 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 54.24 | ExpVar: 0.17
2020-09-06 20:20:45,857 Results for XGB 31 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 53.17 | ExpVar: 0.12
2020-09-06 20:20:45,929 Results for XGB 32 [Target: reg:linear, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 54.37 | ExpVar: 0.13
2020-09-06 20:20:45,941 Results for XGB 33 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 63.16 | ExpVar: -0.84
2020-09-06 20:20:45,952 Results for XGB 34 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 62.64 | ExpVar: -0.15
2020-09-06 20:20:45,963 Results for XGB 35 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 63.85 | ExpVar: -0.83
2020-09-06 20:20:45,975 Results for XGB 36 [Target: reg:linear, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.75 | ExpVar: -0.12
2020-09-06 20:20:46,003 Results for XGB 37 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 63.16 | ExpVar: -0.84
2020-09-06 20:20:46,031 Results for XGB 38 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 62.65 | ExpVar: -0.15
2020-09-06 20:20:46,061 Results for XGB 39 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 63.86 | ExpVar: -0.83
2020-09-06 20:20:46,080 Results for XGB 40 [Target: reg:linear, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.76 | ExpVar: -0.12
2020-09-06 20:20:46,112 Results for XGB 41 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 63.16 | ExpVar: -0.84
2020-09-06 20:20:46,160 Results for XGB 42 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 62.65 | ExpVar: -0.15
2020-09-06 20:20:46,203 Results for XGB 43 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 63.86 | ExpVar: -0.83
2020-09-06 20:20:46,248 Results for XGB 44 [Target: reg:linear, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.76 | ExpVar: -0.12
2020-09-06 20:20:46,324 Results for XGB 45 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 63.16 | ExpVar: -0.84
2020-09-06 20:20:46,387 Results for XGB 46 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 62.65 | ExpVar: -0.15
2020-09-06 20:20:46,464 Results for XGB 47 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 63.86 | ExpVar: -0.83
2020-09-06 20:20:46,533 Results for XGB 48 [Target: reg:linear, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 59.76 | ExpVar: -0.12
2020-09-06 20:20:46,539 Results for XGB 49 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 49.39 | ExpVar: -0.26
2020-09-06 20:20:46,548 Results for XGB 50 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 47.88 | ExpVar: -0.18
2020-09-06 20:20:46,558 Results for XGB 51 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 41.64 | ExpVar: 0.09
2020-09-06 20:20:46,567 Results for XGB 52 [Target: reg:gamma, MaxDepth: 2, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 41.13 | ExpVar: 0.14
2020-09-06 20:20:46,584 Results for XGB 53 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 56.58 | ExpVar: -0.73
2020-09-06 20:20:46,597 Results for XGB 54 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 54.27 | ExpVar: -0.6
2020-09-06 20:20:46,619 Results for XGB 55 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 55.71 | ExpVar: -0.66
2020-09-06 20:20:46,639 Results for XGB 56 [Target: reg:gamma, MaxDepth: 2, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 54.36 | ExpVar: -0.57
2020-09-06 20:20:46,670 Results for XGB 57 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 58.72 | ExpVar: -0.89
2020-09-06 20:20:46,713 Results for XGB 58 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 56.11 | ExpVar: -0.74
2020-09-06 20:20:46,753 Results for XGB 59 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 56.15 | ExpVar: -0.68
2020-09-06 20:20:46,783 Results for XGB 60 [Target: reg:gamma, MaxDepth: 2, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 54.61 | ExpVar: -0.6
2020-09-06 20:20:46,861 Results for XGB 61 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 58.75 | ExpVar: -0.89
2020-09-06 20:20:46,937 Results for XGB 62 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 56.14 | ExpVar: -0.74
2020-09-06 20:20:46,994 Results for XGB 63 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 56.15 | ExpVar: -0.68
2020-09-06 20:20:47,058 Results for XGB 64 [Target: reg:gamma, MaxDepth: 2, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 54.61 | ExpVar: -0.6
2020-09-06 20:20:47,069 Results for XGB 65 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 35.9 | ExpVar: 0.44
2020-09-06 20:20:47,080 Results for XGB 66 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 37.66 | ExpVar: 0.35
2020-09-06 20:20:47,087 Results for XGB 67 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 36.92 | ExpVar: 0.3
2020-09-06 20:20:47,096 Results for XGB 68 [Target: reg:gamma, MaxDepth: 3, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 38.94 | ExpVar: 0.21
2020-09-06 20:20:47,114 Results for XGB 69 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 39.63 | ExpVar: 0.33
2020-09-06 20:20:47,138 Results for XGB 70 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 41.06 | ExpVar: 0.22
2020-09-06 20:20:47,164 Results for XGB 71 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 42.26 | ExpVar: 0.05
2020-09-06 20:20:47,182 Results for XGB 72 [Target: reg:gamma, MaxDepth: 3, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 45.54 | ExpVar: -0.09
2020-09-06 20:20:47,208 Results for XGB 73 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 39.63 | ExpVar: 0.33
2020-09-06 20:20:47,246 Results for XGB 74 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 41.06 | ExpVar: 0.22
2020-09-06 20:20:47,288 Results for XGB 75 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 42.26 | ExpVar: 0.05
2020-09-06 20:20:47,326 Results for XGB 76 [Target: reg:gamma, MaxDepth: 3, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 45.54 | ExpVar: -0.09
2020-09-06 20:20:47,387 Results for XGB 77 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 39.63 | ExpVar: 0.33
2020-09-06 20:20:47,458 Results for XGB 78 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 41.06 | ExpVar: 0.22
2020-09-06 20:20:47,517 Results for XGB 79 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 42.26 | ExpVar: 0.05
2020-09-06 20:20:47,570 Results for XGB 80 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 45.54 | ExpVar: -0.09
2020-09-06 20:20:47,582 Results for XGB 81 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 59.21 | ExpVar: -0.34
2020-09-06 20:20:47,590 Results for XGB 82 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 57.24 | ExpVar: -0.07
2020-09-06 20:20:47,603 Results for XGB 83 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 34.91 | ExpVar: 0.28
